Account,date,total_closed_pnl,mean_closed_pnl,trade_count,total_size_usd,performance_category,value,classification,sentiment_score,classification_score
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,0.0,177,900880.13,low,76.0,Extreme Greed,90,90
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,0.0,68,542413.1799999999,low,90.0,Extreme Greed,90,90
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,0.0,40,949380.0,low,83.0,Extreme Greed,90,90
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-1497.6713848,-124.80594873333332,12,338240.0,low,94.0,Extreme Greed,90,90
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,59.37407407407407,27,465700.0,high,79.0,Extreme Greed,90,90
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-9730.2180038,-118.66119516829269,82,1316799.98,low,77.0,Extreme Greed,90,90
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,0.0,23,1116918.77,low,84.0,Extreme Greed,90,90
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-3191.3939332,-96.70890706666667,33,1212299.96,low,72.0,Greed,70,70
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,17865.361999519897,38.42013333230086,465,5306093.62,high,77.0,Extreme Greed,90,90
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,11368.557938599966,222.9129007568621,51,479429.99,high,76.0,Extreme Greed,90,90
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,4992.992844879974,499.2992844879974,10,1858470.0,high,60.0,Greed,70,70
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,60934.2477632798,72.62723213740144,839,19794543.66,high,44.0,Fear,30,30
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,50864.58152047975,95.79017235495245,531,5616220.88,high,72.0,Greed,70,70
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,22096.95456591993,105.22359317104728,210,5582863.31,high,54.0,Neutral,50,50
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,16971.059452039954,120.36212377333301,141,1432708.93,high,46.0,Neutral,50,50
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,9280.896656039955,193.35201366749905,48,1537560.0,high,43.0,Fear,30,30
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,0.0,6,807600.01,low,47.0,Neutral,50,50
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,9113.309363439987,154.46287056677943,59,1603504.46,high,49.0,Neutral,50,50
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,36863.012002999836,168.32425572146045,219,2898197.14,high,25.0,Fear,30,30
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,1023.3153137199935,18.605732976727154,55,1372739.97,high,16.0,Extreme Fear,10,10
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,210.7160320222222,45,134360.89,high,20.0,Extreme Fear,10,10
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,215094.4944907991,335.5608338390001,641,5365898.24,high,33.0,Fear,30,30
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,3247.5252274399872,649.5050454879974,5,398200.0,high,45.0,Neutral,50,50
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,10641.285594759947,343.2672772503209,31,666240.85,high,43.0,Fear,30,30
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,10751.241429439988,195.47711689890886,55,135847.3,high,84.0,Extreme Greed,90,90
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,0.0,0.0,1,0.06,low,81.0,Extreme Greed,90,90
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,0.0,0.0,34,48513.58,low,72.0,Greed,70,70
